                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5652,                 3.0988,                 1.6367,                 1.3486,                0.47784,                0.34302,                0.30529,                0.14752,                0.40155,                0.25581,                0.18956,                0.07364,                 1.9385,                 4.4878,                  2.071,                 1.6471,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.572,                 2.8378,                 1.6481,                 1.3781,                0.53067,                0.35465,                0.36801,                0.18481,                0.45103,                0.27326,                0.24063,                0.09686,                 1.8556,                 4.3445,                 1.9402,                  1.614,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.485,                 2.8828,                  1.509,                  1.328,                0.45888,                0.36047,                0.34661,                 0.1613,                0.43256,                   0.25,                0.24164,                0.08047,                 1.8262,                 4.3857,                   1.97,                 1.6229,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.5372,                 2.9192,                 1.4869,                 1.3269,                0.47288,                0.40698,                 0.3866,                 0.1748,                0.42769,                0.33021,                0.28117,                0.09368,                 1.8608,                 4.1726,                 1.8726,                 1.6149,               0.001505,               0.001505,               0.001505
                     28,                 1.6134,                 2.9609,                 1.5392,                 1.3581,                0.46562,                0.34884,                0.36157,                0.14447,                0.51944,                0.22624,                0.24418,                0.07629,                 1.9664,                 4.1858,                 2.0198,                 1.7372,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5346,                 2.8607,                 1.4586,                  1.336,                0.47285,                0.40698,                0.38919,                0.17597,                0.34067,                0.26163,                0.23918,                0.07544,                 1.9585,                 4.4043,                 2.0226,                 1.6245,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4951,                 2.7376,                 1.4431,                 1.3119,                0.60667,                 0.2907,                 0.3551,                0.18514,                0.49382,                0.24419,                0.24169,                 0.0768,                 1.9944,                  4.503,                 2.1791,                 1.6371,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4585,                 2.7501,                 1.4225,                  1.313,                0.49291,                0.31084,                0.33754,                0.14761,                0.34361,                0.25581,                0.17797,                0.05537,                 2.0229,                 4.5864,                 2.2709,                 1.6207,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4932,                 2.7163,                 1.4113,                 1.2815,                0.35289,                0.39535,                0.32182,                0.13273,                0.25429,                0.28488,                0.15832,                 0.0449,                 1.9944,                 4.5057,                 2.2521,                 1.5936,               0.001406,               0.001406,               0.001406
                     33,                 1.4058,                 2.7193,                 1.3203,                 1.2498,                0.36579,                0.36217,                0.35398,                0.16958,                0.39137,                0.23837,                0.20843,                0.07558,                 1.8784,                 4.3991,                 2.1184,                   1.53,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3342,                  2.613,                 1.2529,                  1.186,                0.51954,                0.35465,                0.37665,                0.17358,                0.45141,                0.30814,                0.24989,                0.08739,                 1.9627,                 4.1895,                 1.9701,                 1.6027,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4376,                 2.6124,                 1.2708,                 1.2554,                0.43911,                0.38953,                0.37718,                0.16781,                0.39113,                 0.2907,                0.24298,                0.07517,                 2.0376,                 4.2012,                 1.8964,                 1.6592,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4775,                 2.6777,                 1.3084,                  1.272,                0.51332,                0.38372,                0.40941,                0.19519,                0.57925,                0.23256,                0.25535,                0.09333,                 1.8811,                 5.0391,                 1.8457,                 1.6204,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4367,                 2.6371,                 1.2478,                 1.2662,                0.72008,                0.35465,                0.44821,                0.22904,                0.53407,                0.26744,                0.27969,                  0.108,                 1.7554,                 4.5075,                 1.7754,                 1.5748,               0.001307,               0.001307,               0.001307
                     38,                 1.4236,                 2.5882,                 1.2969,                 1.2587,                0.55433,                0.38372,                0.40806,                 0.1976,                0.42081,                0.30233,                0.25245,                0.09492,                 1.8851,                 4.6431,                 1.9376,                 1.5715,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3792,                   2.76,                 1.2795,                  1.259,                0.43295,                0.37209,                0.37953,                0.17921,                0.35177,                0.30233,                0.23265,                0.08369,                 1.9089,                 4.3766,                 2.0574,                 1.6081,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4288,                 2.7305,                 1.2498,                 1.2747,                0.46073,                0.45202,                0.40987,                0.17781,                0.36179,                0.34884,                0.27289,                0.09841,                 1.9033,                  4.768,                 1.8778,                 1.6034,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3802,                 2.5841,                  1.193,                 1.2324,                0.49283,                0.34884,                0.38362,                0.16023,                0.36755,                 0.3314,                0.26107,                0.09405,                 1.9396,                 5.0164,                 2.0745,                 1.6279,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3023,                 2.3976,                  1.148,                 1.1762,                0.55027,                0.38953,                0.41936,                0.19318,                0.46889,                0.33364,                0.31041,                0.11053,                 1.8334,                 4.4032,                 1.8645,                 1.5853,               0.001208,               0.001208,               0.001208
                     43,                 1.3315,                 2.5603,                 1.1357,                 1.1755,                0.60845,                0.35465,                0.43099,                0.19809,                0.47546,                0.31395,                0.30792,                0.10074,                 1.8541,                  4.243,                 1.8286,                 1.5655,              0.0011882,              0.0011882,              0.0011882
