                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3277,                 3.0974,                 14.164,                 2.1021,                0.13794,                 0.1306,                0.04652,                0.01558,                0.12469,                0.11194,                0.04884,                0.01431,                 2.0942,                  2.672,                   7.02,                  2.114,             0.00066536,             0.00066536,             0.00066536
                      2,                 2.0955,                 2.5464,                 9.6158,                 1.9215,                0.05516,                0.13806,                0.02309,                0.00841,                0.05265,                0.14179,                 0.0219,                0.00876,                  2.146,                 3.1222,                  5.359,                  2.209,              0.0012881,              0.0012881,              0.0012881
                      3,                  2.145,                 2.5482,                 7.0031,                 1.9516,                 0.1412,                0.13313,                0.06057,                0.02429,                 0.1333,                0.12313,                0.05917,                0.02491,                 2.0878,                 2.6093,                 4.3621,                 1.9441,              0.0018668,              0.0018668,              0.0018668
                      4,                 2.1271,                  2.511,                 5.8525,                 1.9856,                0.15811,                0.19403,                0.07281,                0.02978,                0.16476,                 0.1903,                0.07142,                0.03025,                 2.0077,                  2.357,                 4.0196,                 2.1245,               0.001802,               0.001802,               0.001802
                      5,                 2.0623,                 2.3479,                 4.8034,                 1.9643,                0.20933,                0.13806,                0.10646,                0.04245,                0.23078,                0.14552,                0.10818,                0.04334,                 2.1273,                 2.4268,                 3.4437,                  2.145,               0.001802,               0.001802,               0.001802
                      6,                  2.119,                 2.4104,                 4.0215,                 2.0116,                0.24744,                0.17537,                0.12255,                0.05058,                0.23113,                0.17164,                  0.117,                0.05246,                 2.0299,                 2.3631,                 3.1944,                 2.0098,               0.001736,               0.001736,               0.001736
                      7,                 2.1263,                 2.3958,                 3.6534,                 2.0146,                 0.2922,                0.21642,                0.18143,                0.06906,                0.27708,                0.20522,                0.17832,                0.07856,                 1.9588,                 2.3568,                 3.0049,                 2.0403,                0.00167,                0.00167,                0.00167
                      8,                 2.0229,                 2.3121,                 3.4172,                 1.9241,                0.27449,                0.23881,                0.17214,                0.06453,                0.28209,                0.24254,                0.17688,                0.07261,                 2.0342,                 2.4136,                 2.8851,                 2.0071,               0.001604,               0.001604,               0.001604
                      9,                  1.956,                 2.2703,                 3.1786,                 1.8619,                0.31646,                0.25373,                 0.2098,                0.08302,                0.31646,                0.25373,                0.21072,                0.08917,                 1.9513,                 2.3471,                 2.9306,                 2.0108,               0.001538,               0.001538,               0.001538
                     10,                  1.989,                 2.1732,                 3.0179,                  1.881,                0.31173,                0.25373,                 0.2329,                0.09861,                0.30715,                   0.25,                0.23589,                0.10716,                 1.9738,                 2.1563,                 2.6885,                 2.0028,               0.001472,               0.001472,               0.001472
                     11,                  1.878,                 2.1384,                 2.9228,                 1.8433,                0.31125,                0.30224,                0.22253,                0.09313,                0.30991,                0.29478,                0.20958,                0.10043,                 1.9649,                 2.1969,                   2.68,                 1.9772,               0.001406,               0.001406,               0.001406
                     12,                 1.9627,                  2.302,                 2.8456,                 1.8313,                0.42497,                0.22761,                0.24191,                0.09183,                0.40469,                0.22068,                0.23761,                0.09911,                  1.926,                  2.207,                 2.6811,                 1.8902,                0.00134,                0.00134,                0.00134
                     13,                 1.8645,                 2.1049,                 2.7286,                 1.8016,                0.32144,                0.30224,                0.25515,                0.10613,                0.30782,                0.30224,                0.24165,                0.10768,                 1.9006,                 2.1328,                 2.5208,                 1.9645,               0.001274,               0.001274,               0.001274
                     14,                 1.8916,                 2.0966,                 2.6155,                 1.7844,                0.30469,                0.30597,                0.22785,                0.09419,                0.30904,                0.30597,                0.22792,                0.09977,                  1.919,                 2.2561,                 2.5361,                 1.9178,               0.001208,               0.001208,               0.001208
                     15,                 1.8584,                 2.0994,                 2.6151,                    1.8,                0.29125,                0.32463,                0.22113,                0.08681,                0.27697,                0.35591,                0.23823,                0.09486,                 1.9297,                 2.1152,                 2.6148,                 1.9553,               0.001142,               0.001142,               0.001142
                     16,                 1.8406,                  2.109,                 2.5463,                 1.7817,                0.32876,                0.33582,                0.24947,                0.10215,                0.32876,                0.33582,                0.26185,                 0.1074,                 1.8762,                 2.1578,                 2.4771,                 1.8899,               0.001076,               0.001076,               0.001076
                     17,                 1.8006,                 2.0597,                 2.4351,                 1.7244,                0.33693,                0.35075,                0.29082,                 0.1214,                 0.3485,                0.34701,                0.29114,                0.12911,                 1.8867,                 2.1109,                 2.4113,                 1.8639,                0.00101,                0.00101,                0.00101
                     18,                 1.7971,                 1.9663,                 2.4877,                 1.7267,                0.29572,                0.31716,                0.26677,                0.11041,                0.29576,                0.31343,                0.26784,                0.11749,                 1.8974,                 2.0445,                 2.5503,                 1.9502,               0.000944,               0.000944,               0.000944
                     19,                 1.7317,                 1.9497,                 2.4782,                 1.6948,                0.33251,                 0.3694,                0.27314,                0.12205,                0.31975,                0.36194,                  0.266,                0.12291,                 1.8382,                 2.1181,                 2.4064,                 1.8791,               0.000878,               0.000878,               0.000878
                     20,                 1.8054,                 1.9059,                 2.3581,                 1.7391,                0.36158,                0.34328,                 0.2698,                0.11527,                0.36551,                0.34701,                0.27356,                0.12292,                 1.8629,                 2.0419,                 2.4534,                 1.8621,               0.000812,               0.000812,               0.000812
                     21,                 1.8597,                 1.9658,                 2.3839,                 1.7999,                0.36071,                0.33209,                0.30033,                0.12468,                0.36365,                0.34328,                0.30274,                0.13064,                 1.8591,                 2.0531,                 2.3726,                 1.9103,               0.000746,               0.000746,               0.000746
                     22,                 1.7879,                 1.9269,                  2.246,                 1.8148,                0.39553,                0.38806,                0.32383,                0.13189,                0.40313,                0.39552,                0.31963,                0.13843,                 1.9147,                 2.0619,                 2.3522,                 1.9109,                0.00068,                0.00068,                0.00068
                     23,                  1.808,                 1.8655,                 2.1867,                 1.7673,                0.37161,                0.37687,                0.32092,                0.12734,                0.33456,                0.36956,                0.32291,                 0.1334,                 1.8953,                 2.0236,                 2.3827,                 1.8872,               0.000614,               0.000614,               0.000614
                     24,                 1.7696,                 1.8587,                 2.1705,                  1.773,                0.38448,                0.38433,                 0.3285,                0.12878,                0.37629,                0.39179,                0.32428,                0.13624,                 1.8663,                 2.0626,                 2.3849,                 1.9298,               0.000548,               0.000548,               0.000548
                     25,                 1.7624,                 1.8405,                 2.1263,                 1.7545,                0.39846,                0.38433,                0.34974,                0.14259,                0.40704,                0.41045,                 0.3494,                0.14718,                 1.8729,                  2.025,                 2.3426,                 1.8698,               0.000482,               0.000482,               0.000482
                     26,                 1.7455,                 1.8305,                  2.061,                 1.7227,                0.48564,                0.33955,                0.35413,                 0.1504,                0.50794,                0.37687,                0.36529,                 0.1539,                 1.8656,                 2.0751,                 2.4131,                 1.8655,               0.000416,               0.000416,               0.000416
