                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5921,                 4.5639,                 10.696,                 2.8007,                  3e-05,                0.00474,                  3e-05,                  1e-05,                  3e-05,                0.00474,                  1e-05,                  1e-05,                 4.6922,                 20.127,                 5.6901,                 3.7783,             0.00066484,             0.00066484,             0.00066484
                      2,                 3.4022,                 4.2847,                 5.2558,                 2.6724,                  3e-05,                0.00474,                  3e-05,                  1e-05,                  3e-05,                0.00474,                  1e-05,                  1e-05,                  3.578,                 134.45,                 5.0199,                 4.3194,             0.00089211,             0.00089211,             0.00089211
                      3,                 3.2807,                 4.2446,                 4.9641,                 2.5979,                  3e-05,                0.00474,                  3e-05,                  1e-05,                  3e-05,                0.00474,                  1e-05,                  1e-05,                 3.1347,                 5.2896,                 4.4637,                 2.6525,             0.00067938,             0.00067938,             0.00067938
