                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.654,                 1.7076,                 1.5555,                 1.5996,                0.56928,                0.52041,                0.50918,                0.20473,                 0.5744,                0.51185,                0.50899,                0.20924,                 1.8967,                 2.1062,                 1.8152,                 1.8674,             0.00066357,             0.00066357,             0.00066357
                      2,                   1.66,                  1.739,                  1.605,                 1.6368,                0.58969,                0.53061,                0.53782,                 0.2127,                0.58257,                0.54082,                0.53598,                0.21003,                 1.8749,                 2.0625,                 1.8977,                 1.9107,              0.0013083,              0.0013083,              0.0013083
                      3,                 1.7135,                 1.8298,                 1.6846,                 1.6581,                0.52669,                0.47312,                0.46968,                  0.194,                0.53559,                0.47789,                0.46205,                0.20022,                 1.9027,                 2.0793,                 1.9615,                 1.9323,               0.001931,               0.001931,               0.001931
                      4,                 1.7266,                 1.8673,                 1.7324,                 1.6792,                0.58357,                0.50288,                0.50723,                0.20572,                0.58213,                 0.4983,                0.49989,                0.20461,                 1.8205,                 2.0478,                 1.9856,                 1.8655,               0.001901,               0.001901,               0.001901
                      5,                 1.7205,                 1.8666,                 1.6397,                 1.6588,                0.61374,                0.52155,                0.54133,                0.21741,                0.59773,                0.50794,                0.51787,                0.21591,                 1.9025,                 2.1038,                 1.8877,                 1.9105,               0.001901,               0.001901,               0.001901
                      6,                 1.6906,                 1.8249,                 1.6229,                 1.6457,                0.56387,                 0.4915,                0.46816,                0.17848,                0.55879,                0.48247,                0.46524,                 0.1826,                 1.9242,                 2.1365,                 1.8984,                 1.9288,               0.001868,               0.001868,               0.001868
                      7,                 1.7015,                 1.8352,                 1.6114,                 1.6578,                 0.6029,                0.48299,                0.51703,                 0.1949,                0.60714,                0.48639,                0.50791,                0.20957,                 1.8929,                 2.1862,                 1.8977,                 1.9033,               0.001835,               0.001835,               0.001835
                      8,                 1.6971,                 1.8129,                 1.6707,                 1.6599,                0.63488,                0.52211,                0.53082,                 0.2112,                0.64219,                0.51531,                0.53117,                0.21797,                 1.9202,                 2.0297,                 1.8379,                 1.9533,               0.001802,               0.001802,               0.001802
                      9,                 1.6836,                 1.7163,                 1.5938,                 1.6337,                0.59811,                0.53571,                0.54476,                0.21074,                0.59221,                0.52891,                0.52221,                0.21145,                 1.8958,                 2.0652,                 1.7775,                 1.9467,               0.001769,               0.001769,               0.001769
                     10,                 1.6835,                 1.7441,                 1.6279,                 1.6353,                0.57317,                    0.5,                0.52947,                0.21229,                0.56819,                    0.5,                0.52295,                0.21809,                 1.8953,                 2.0117,                 1.8364,                 1.8999,               0.001736,               0.001736,               0.001736
                     11,                 1.6969,                 1.7943,                 1.6252,                 1.6431,                0.57367,                0.51701,                0.51392,                0.20719,                0.57294,                0.53061,                0.50705,                0.21527,                 1.8674,                 2.1207,                 1.8573,                 1.8817,               0.001703,               0.001703,               0.001703
                     12,                 1.6936,                 1.7532,                 1.6332,                 1.6551,                0.56881,                0.52049,                0.50833,                0.20797,                0.56819,                 0.5102,                0.49881,                0.20583,                 1.9007,                 2.0375,                 1.8597,                  1.933,                0.00167,                0.00167,                0.00167
                     13,                 1.6863,                 1.6854,                 1.5815,                 1.6417,                0.59929,                0.50106,                0.52198,                0.22026,                0.58563,                 0.4932,                0.49322,                0.21317,                 1.8629,                 2.0449,                  1.821,                 1.8811,               0.001637,               0.001637,               0.001637
                     14,                 1.6793,                 1.7768,                 1.5928,                  1.628,                0.55696,                 0.4898,                0.51208,                0.20899,                0.53731,                0.47992,                0.49148,                0.20188,                 1.8923,                 2.1477,                 1.8376,                 1.8946,               0.001604,               0.001604,               0.001604
                     15,                 1.6625,                 1.7074,                 1.5433,                 1.6111,                0.61125,                  0.484,                0.51227,                0.20272,                0.61413,                0.48721,                0.51211,                0.20577,                 1.9136,                 2.1014,                  1.845,                 1.9226,               0.001571,               0.001571,               0.001571
                     16,                 1.6387,                  1.662,                 1.5296,                 1.6125,                0.58695,                0.53912,                0.54356,                0.21328,                0.57957,                0.52381,                0.53006,                0.21365,                 1.8889,                  2.114,                 1.8018,                 1.9102,               0.001538,               0.001538,               0.001538
                     17,                 1.6381,                 1.7592,                  1.527,                 1.5903,                0.62842,                0.54252,                0.54763,                0.22066,                0.60667,                0.52725,                0.52682,                0.22172,                 1.8782,                 2.0871,                 1.7984,                 1.8784,               0.001505,               0.001505,               0.001505
                     18,                 1.6451,                 1.6772,                 1.5428,                 1.6085,                0.58685,                0.53061,                 0.5055,                0.19651,                0.60913,                0.51871,                0.51357,                0.20564,                 1.9031,                 2.0703,                 1.8439,                 1.9172,               0.001472,               0.001472,               0.001472
                     19,                 1.6152,                 1.6589,                 1.4793,                 1.5582,                0.60574,                0.53304,                0.54069,                0.22095,                 0.6014,                0.53061,                0.52749,                0.21609,                  1.886,                  2.028,                 1.8127,                 1.8918,               0.001439,               0.001439,               0.001439
                     20,                 1.6338,                 1.6669,                 1.4831,                 1.6022,                0.58993,                0.52551,                0.53203,                0.21332,                0.57296,                0.51361,                0.51463,                0.21211,                 1.9195,                 2.1195,                 1.8086,                 1.9042,               0.001406,               0.001406,               0.001406
                     21,                 1.6312,                  1.668,                 1.4691,                 1.5765,                0.62679,                0.54932,                0.57243,                0.23338,                0.61931,                0.54592,                0.55831,                0.22797,                 1.8634,                 2.0723,                 1.7702,                 1.8663,               0.001373,               0.001373,               0.001373
                     22,                 1.6142,                  1.581,                 1.4425,                 1.5717,                0.64944,                0.53401,                 0.5554,                0.22315,                0.63546,                0.52381,                0.52766,                 0.2137,                 1.9128,                 2.0737,                 1.7958,                 1.9033,                0.00134,                0.00134,                0.00134
                     23,                  1.631,                 1.6621,                 1.4572,                 1.5782,                0.57946,                0.53912,                0.52665,                0.20942,                0.58586,                0.53401,                0.52569,                0.21566,                 1.9207,                 2.1312,                  1.822,                 1.9368,               0.001307,               0.001307,               0.001307
                     24,                 1.6184,                 1.6563,                 1.4278,                 1.5751,                0.59592,                0.53061,                0.51388,                0.21004,                0.62148,                0.53061,                 0.5317,                0.21545,                 1.9223,                 2.2068,                 1.7844,                 1.9325,               0.001274,               0.001274,               0.001274
                     25,                 1.5837,                 1.6445,                 1.4327,                 1.5532,                0.65604,                0.55782,                0.56879,                0.22561,                0.63012,                0.56206,                0.55325,                 0.2219,                 1.9164,                 2.1498,                 1.7562,                 1.9128,               0.001241,               0.001241,               0.001241
                     26,                 1.5855,                 1.6175,                 1.3994,                 1.5437,                0.61058,                0.55102,                0.57235,                 0.2302,                 0.5823,                0.55272,                0.54035,                0.21951,                 1.9015,                 2.0936,                 1.7622,                 1.9304,               0.001208,               0.001208,               0.001208
                     27,                 1.6022,                 1.6474,                 1.4413,                 1.5401,                0.62262,                0.53401,                0.53832,                0.21564,                0.60385,                0.52381,                0.51429,                0.21218,                 1.8573,                 2.1155,                 1.7814,                 1.8813,               0.001175,               0.001175,               0.001175
                     28,                 1.5731,                 1.5697,                 1.3962,                 1.5484,                0.64644,                0.56122,                0.56923,                0.22042,                0.65401,                 0.5465,                0.56765,                0.22038,                 1.9489,                 2.1545,                 1.7822,                  1.928,               0.001142,               0.001142,               0.001142
                     29,                 1.5937,                 1.5889,                 1.3873,                 1.5499,                0.61273,                0.54252,                0.57068,                0.22991,                0.56081,                0.54252,                0.54188,                0.22016,                 1.9025,                 2.0801,                 1.7488,                  1.885,               0.001109,               0.001109,               0.001109
                     30,                 1.5483,                 1.5712,                 1.3944,                  1.531,                0.62149,                 0.5501,                0.56466,                0.22693,                0.60335,                0.57431,                0.56606,                0.22768,                 1.9013,                  2.105,                 1.7667,                 1.9066,               0.001076,               0.001076,               0.001076
                     31,                 1.5578,                 1.5748,                 1.3649,                 1.5206,                0.64888,                0.56633,                0.59106,                  0.235,                0.65628,                0.56633,                0.57709,                0.23734,                 1.9191,                 2.1009,                 1.7354,                 1.9102,               0.001043,               0.001043,               0.001043
                     32,                 1.5676,                 1.5892,                  1.355,                 1.5326,                0.63049,                0.55612,                0.54703,                0.21918,                0.60812,                0.54762,                0.53974,                0.21688,                  1.905,                 2.1179,                 1.8167,                 1.9063,                0.00101,                0.00101,                0.00101
                     33,                 1.5341,                  1.539,                 1.3188,                 1.5329,                0.68937,                0.54592,                0.58583,                 0.2342,                0.64134,                0.55102,                0.56472,                 0.2312,                 1.9273,                 2.0583,                 1.7265,                 1.9342,               0.000977,               0.000977,               0.000977
                     34,                 1.5317,                 1.5152,                 1.3505,                 1.5124,                0.62954,                0.54932,                0.56639,                0.22728,                0.62954,                0.54932,                0.55453,                0.22198,                 1.9291,                 2.1169,                 1.7638,                 1.9371,               0.000944,               0.000944,               0.000944
                     35,                 1.5065,                 1.4853,                 1.2908,                 1.4835,                 0.6676,                0.52601,                0.56321,                 0.2237,                0.64235,                 0.5102,                0.52807,                 0.2151,                 1.9719,                 2.1688,                 1.7889,                 1.9739,               0.000911,               0.000911,               0.000911
                     36,                 1.5051,                 1.4902,                 1.2604,                 1.4757,                0.65114,                0.56293,                0.57733,                0.24277,                0.66244,                0.55952,                0.56016,                 0.2378,                 1.9355,                 2.2182,                  1.741,                  1.935,               0.000878,               0.000878,               0.000878
                     37,                 1.5151,                 1.5551,                 1.3005,                 1.4925,                0.60303,                0.55546,                0.54252,                0.22367,                0.59193,                0.56293,                0.53421,                0.21662,                 1.9475,                  2.173,                 1.7867,                 1.9318,               0.000845,               0.000845,               0.000845
                     38,                 1.5035,                  1.473,                  1.264,                 1.4671,                0.62206,                0.57103,                0.57552,                0.23637,                0.62271,                0.57541,                0.55269,                0.23232,                 1.9125,                 2.1351,                 1.7091,                 1.9272,               0.000812,               0.000812,               0.000812
                     39,                 1.4988,                 1.4875,                 1.2601,                 1.4678,                0.66829,                0.51701,                0.55744,                0.22956,                0.64871,                0.53388,                0.55313,                0.22691,                 1.9465,                 2.1584,                 1.7563,                 1.9519,               0.000779,               0.000779,               0.000779
                     40,                 1.4566,                 1.4319,                 1.2507,                 1.4681,                0.63216,                0.57653,                0.57279,                0.23578,                0.64288,                0.56803,                0.56948,                0.23186,                 1.9642,                 2.1771,                 1.7079,                 1.9453,               0.000746,               0.000746,               0.000746
                     41,                 1.4629,                 1.4803,                  1.186,                 1.4426,                0.61941,                0.57993,                0.57533,                0.22794,                 0.6115,                0.56293,                0.55104,                0.22578,                 1.9957,                 2.1735,                 1.6861,                 1.9976,               0.000713,               0.000713,               0.000713
                     42,                 1.4512,                  1.451,                 1.2291,                 1.4413,                0.66204,                0.56973,                0.58215,                0.23732,                0.61857,                0.56122,                0.55283,                  0.227,                 1.9635,                 2.1501,                 1.6781,                 1.9584,                0.00068,                0.00068,                0.00068
                     43,                 1.4316,                 1.4245,                 1.1875,                 1.4302,                0.66571,                0.56803,                0.58668,                0.23384,                0.63945,                0.54762,                0.55825,                0.22573,                 1.9731,                  2.145,                 1.7223,                 1.9778,               0.000647,               0.000647,               0.000647
                     44,                 1.4534,                 1.4384,                  1.182,                 1.4467,                0.64304,                0.57902,                 0.5823,                 0.2361,                0.61486,                0.57143,                0.55969,                 0.2284,                 1.9759,                 2.1667,                 1.6712,                 1.9845,               0.000614,               0.000614,               0.000614
                     45,                 1.4387,                 1.4382,                 1.1662,                  1.437,                0.64915,                0.58163,                 0.5783,                0.22721,                0.63397,                0.56803,                0.55633,                0.22429,                 1.9728,                 2.1766,                 1.7135,                 1.9787,               0.000581,               0.000581,               0.000581
                     46,                 1.4297,                 1.4466,                 1.1414,                 1.4292,                0.66616,                0.57993,                0.57818,                0.23667,                0.65335,                0.59524,                0.57404,                0.23532,                 1.9982,                 2.1942,                 1.6845,                 1.9926,               0.000548,               0.000548,               0.000548
                     47,                 1.4181,                 1.4225,                 1.1439,                 1.4285,                 0.6794,                0.56803,                0.57995,                0.23386,                0.66709,                 0.5691,                 0.5723,                0.23078,                 2.0052,                 2.1923,                  1.708,                  2.005,               0.000515,               0.000515,               0.000515
                     48,                 1.3976,                 1.4172,                 1.0888,                 1.4092,                0.64815,                0.57653,                0.59291,                0.23775,                0.64051,                0.56973,                0.57896,                0.23386,                  1.996,                 2.2237,                 1.6737,                 1.9929,               0.000482,               0.000482,               0.000482
                     49,                 1.4122,                 1.3722,                  1.111,                  1.418,                 0.6298,                0.57993,                0.57066,                0.22201,                0.59398,                0.59214,                 0.5489,                0.21824,                 2.0223,                  2.226,                 1.7398,                 2.0079,               0.000449,               0.000449,               0.000449
                     50,                  1.382,                 1.4272,                 1.0883,                 1.3895,                0.67974,                0.56803,                0.57649,                0.22264,                0.65459,                0.54762,                0.55066,                0.22036,                 2.0275,                 2.2038,                 1.7468,                 2.0349,               0.000416,               0.000416,               0.000416
                     51,                 1.3837,                 1.3316,                 1.0641,                 1.4328,                0.65184,                0.54252,                0.55737,                0.22561,                0.63371,                0.54433,                0.55377,                0.22021,                 2.0323,                  2.309,                 1.7397,                 2.0309,               0.000383,               0.000383,               0.000383
